filename	phi0	phi0dot
plots-1-1	20.0	-0.1
plots-2-1	20.0	-0.09710144927536232
plots-3-1	20.0	-0.09420289855072464
plots-4-1	20.0	-0.09130434782608696
plots-5-1	20.0	-0.08840579710144927
plots-6-1	20.0	-0.0855072463768116
plots-7-1	20.0	-0.08260869565217392
plots-8-1	20.0	-0.07971014492753624
plots-9-1	20.0	-0.07681159420289856
plots-10-1	20.0	-0.07391304347826087
plots-11-1	20.0	-0.07101449275362319
plots-12-1	20.0	-0.06811594202898552
plots-13-1	20.0	-0.06521739130434784
plots-14-1	20.0	-0.06231884057971015
plots-15-1	20.0	-0.05942028985507247
plots-16-1	20.0	-0.05652173913043479
plots-17-1	20.0	-0.053623188405797106
plots-18-1	20.0	-0.050724637681159424
plots-19-1	20.0	-0.04782608695652174
plots-20-1	20.0	-0.044927536231884065
plots-21-1	20.0	-0.04202898550724638
plots-22-1	20.0	-0.0391304347826087
plots-23-1	20.0	-0.03623188405797102
plots-24-1	20.0	-0.03333333333333334
plots-25-1	20.0	-0.030434782608695657
plots-26-1	20.0	-0.027536231884057974
plots-27-1	20.0	-0.02463768115942029
plots-28-1	20.0	-0.021739130434782608
plots-29-1	20.0	-0.01884057971014494
plots-30-1	20.0	-0.015942028985507256
plots-31-1	20.0	-0.013043478260869573
plots-32-1	20.0	-0.01014492753623189
plots-33-1	20.0	-0.007246376811594207
plots-34-1	20.0	-0.004347826086956524
plots-35-1	20.0	-0.0014492753623188415
plots-36-1	20.0	0.0014492753623188415
plots-37-1	20.0	0.004347826086956524
plots-38-1	20.0	0.0072463768115941934
plots-39-1	20.0	0.010144927536231876
plots-40-1	20.0	0.01304347826086956
plots-41-1	20.0	0.015942028985507242
plots-42-1	20.0	0.018840579710144925
plots-43-1	20.0	0.021739130434782608
plots-44-1	20.0	0.02463768115942029
plots-45-1	20.0	0.02753623188405796
plots-46-1	20.0	0.030434782608695643
plots-47-1	20.0	0.033333333333333326
plots-48-1	20.0	0.03623188405797101
plots-49-1	20.0	0.03913043478260869
plots-50-1	20.0	0.042028985507246375
plots-51-1	20.0	0.04492753623188406
plots-52-1	20.0	0.04782608695652174
plots-53-1	20.0	0.050724637681159424
plots-54-1	20.0	0.053623188405797106
plots-55-1	20.0	0.05652173913043479
plots-56-1	20.0	0.05942028985507247
plots-57-1	20.0	0.06231884057971013
plots-58-1	20.0	0.06521739130434781
plots-59-1	20.0	0.0681159420289855
plots-60-1	20.0	0.07101449275362318
plots-61-1	20.0	0.07391304347826086
plots-62-1	20.0	0.07681159420289854
plots-63-1	20.0	0.07971014492753623
plots-64-1	20.0	0.08260869565217391
plots-65-1	20.0	0.08550724637681159
plots-66-1	20.0	0.08840579710144927
plots-67-1	20.0	0.09130434782608696
plots-68-1	20.0	0.09420289855072464
plots-69-1	20.0	0.09710144927536232
plots-70-1	20.0	0.1
plots-71-1	20.144927536231883	-0.1
plots-72-1	20.144927536231883	-0.09710144927536232
plots-73-1	20.144927536231883	-0.09420289855072464
plots-74-1	20.144927536231883	-0.09130434782608696
plots-75-1	20.144927536231883	-0.08840579710144927
plots-76-1	20.144927536231883	-0.0855072463768116
plots-77-1	20.144927536231883	-0.08260869565217392
plots-78-1	20.144927536231883	-0.07971014492753624
plots-79-1	20.144927536231883	-0.07681159420289856
plots-80-1	20.144927536231883	-0.07391304347826087
plots-81-1	20.144927536231883	-0.07101449275362319
plots-82-1	20.144927536231883	-0.06811594202898552
plots-83-1	20.144927536231883	-0.06521739130434784
plots-84-1	20.144927536231883	-0.06231884057971015
plots-85-1	20.144927536231883	-0.05942028985507247
plots-86-1	20.144927536231883	-0.05652173913043479
plots-87-1	20.144927536231883	-0.053623188405797106
plots-88-1	20.144927536231883	-0.050724637681159424
plots-89-1	20.144927536231883	-0.04782608695652174
plots-90-1	20.144927536231883	-0.044927536231884065
plots-91-1	20.144927536231883	-0.04202898550724638
plots-92-1	20.144927536231883	-0.0391304347826087
plots-93-1	20.144927536231883	-0.03623188405797102
plots-94-1	20.144927536231883	-0.03333333333333334
plots-95-1	20.144927536231883	-0.030434782608695657
plots-96-1	20.144927536231883	-0.027536231884057974
plots-97-1	20.144927536231883	-0.02463768115942029
plots-98-1	20.144927536231883	-0.021739130434782608
plots-99-1	20.144927536231883	-0.01884057971014494
plots-100-1	20.144927536231883	-0.015942028985507256
plots-101-1	20.144927536231883	-0.013043478260869573
plots-102-1	20.144927536231883	-0.01014492753623189
plots-103-1	20.144927536231883	-0.007246376811594207
plots-104-1	20.144927536231883	-0.004347826086956524
plots-105-1	20.144927536231883	-0.0014492753623188415
plots-106-1	20.144927536231883	0.0014492753623188415
plots-107-1	20.144927536231883	0.004347826086956524
plots-108-1	20.144927536231883	0.0072463768115941934
plots-109-1	20.144927536231883	0.010144927536231876
plots-110-1	20.144927536231883	0.01304347826086956
plots-111-1	20.144927536231883	0.015942028985507242
plots-112-1	20.144927536231883	0.018840579710144925
plots-113-1	20.144927536231883	0.021739130434782608
plots-114-1	20.144927536231883	0.02463768115942029
plots-115-1	20.144927536231883	0.02753623188405796
plots-116-1	20.144927536231883	0.030434782608695643
plots-117-1	20.144927536231883	0.033333333333333326
plots-118-1	20.144927536231883	0.03623188405797101
plots-119-1	20.144927536231883	0.03913043478260869
plots-120-1	20.144927536231883	0.042028985507246375
plots-121-1	20.144927536231883	0.04492753623188406
plots-122-1	20.144927536231883	0.04782608695652174
plots-123-1	20.144927536231883	0.050724637681159424
plots-124-1	20.144927536231883	0.053623188405797106
plots-125-1	20.144927536231883	0.05652173913043479
plots-126-1	20.144927536231883	0.05942028985507247
plots-127-1	20.144927536231883	0.06231884057971013
